name,rankingPosition,priceLevel,category,rating,address,numberOfReviews
Philhellene,3,$$ - $$$,restaurant,4.0,"551-553 Mount Alexander Rd, Moonee Ponds, Moonee Valley, Victoria 3039 Australia",187
Pretty Boy Italian Steakhouse,348,$$ - $$$,restaurant,4.5,"399 Little Lonsdale Street Level 1, Melbourne, Victoria 3000 Australia",73
Elephant and Wheelbarrow,327,$$ - $$$,restaurant,3.5,"94-96 Bourke St, Melbourne, Victoria 3000 Australia",582
Plain Sailing,1,$$ - $$$,restaurant,4.5,"144 Ormond Rd, Elwood, Port Phillip, Victoria 3184 Australia",85
Little Tommy Tucker Cafe,4,$$ - $$$,restaurant,4.5,"432 Centre Rd, Bentleigh, Glen Eira, Victoria 3204 Australia",153
Lentil As Anything St Kilda,14,$,restaurant,4.5,"41 Blessington St, St Kilda, Port Phillip, Victoria 3182 Australia",219
Yassas - The Greek Way,392,$$ - $$$,restaurant,4.0,"4-9/3 Southgate Ave Southgate Plaza, Melbourne, Victoria 3006 Australia",399
Locanda Restaurant & Public Bar,317,$$ - $$$,restaurant,4.0,"186 Exhibition St, Melbourne, Victoria 3000 Australia",369
Pud Thai vs Pho,347,$,restaurant,4.5,"60 Siddeley St, Melbourne, Victoria 3008 Australia",103
Sake Restaurant & Bar,389,$$ - $$$,restaurant,4.0,"121 Flinders Lane, Melbourne, Victoria 3000 Australia",181
Swaad India's Zest,3,$$ - $$$,restaurant,4.5,"Shop 9 271-275 Centre Rd, Bentleigh, Glen Eira, Victoria 3204 Australia",81
Cafe Keyif,343,$$ - $$$,restaurant,4.5,"U 1 550 Flinders St Entry Through Downie Street, Melbourne, Victoria 3000 Australia",138
Half Moon Cafe,1,$,restaurant,5.0,"13 Victoria St Shop 13, Coburg, Moreland, Victoria 3058 Australia",65
Brighton Soul,5,$,restaurant,4.5,"129 Church Street, Brighton, Bayside, Victoria 3186 Australia",131
Bistro La Provence,6,$$ - $$$,restaurant,4.5,"234 Esplanade, Brighton, Bayside, Victoria 3186 Australia",146
Avatar Indian Cuisine,1,$$ - $$$,restaurant,4.5,"291 Whitehorse Rd Opposite Balwyn Park, Balwyn, Boroondara, Victoria 3103 Australia",88
Paper Plate Restaurant,12,$$ - $$$,restaurant,4.5,"318 Bridge Rd, Richmond, Yarra, Victoria 3121 Australia",65
Jim's Greek Tavern,5,$$ - $$$,restaurant,4.0,"32 Johnston St, Collingwood, Yarra, Victoria 3066 Australia",457
Archie's All Day,18,$$ - $$$,restaurant,4.5,"189 Gertrude St, Fitzroy, Yarra, Victoria 3065 Australia",162
Sapa Hills Restaurant,2,$$ - $$$,restaurant,4.5,"112 Hopkins St, Footscray, Maribyrnong, Victoria 3011 Australia",196
Ginza Teppanyaki,380,$$ - $$$,restaurant,4.0,"139 Little Bourke St, Melbourne, Victoria 3000 Australia",229
American Doughnut Kitchen,374,$,restaurant,4.5,"Queen St, Melbourne, Victoria 3000 Australia",100
Sir Charles,14,$$ - $$$,restaurant,4.5,"121 Johnston St, Fitzroy, Yarra, Victoria 3065 Australia",133
Eliana Lulu,287,$$ - $$$,restaurant,4.0,"7-9 Centre Pl, Melbourne, Victoria 3000 Australia",166
Mediterraneo Charcoal Restaurant,3,$$ - $$$,restaurant,4.5,"116 Bridport St, Albert Park, Port Phillip, Victoria 3206 Australia",171
Dumplings Plus,381,$,restaurant,4.0,"269 Swanston St, Melbourne, Victoria 3000 Australia",264
Curry Vault Indian Restaurant and Bar,334,$$ - $$$,restaurant,4.0,"18-20 Bank Pl, Melbourne, Victoria 3000 Australia",300
The Point Restaurant,4,$$$$,restaurant,4.5,"Aquatic Drive Albert Park Lake, Albert Park, Port Phillip, Victoria 3206 Australia",242
Massi,320,$$ - $$$,restaurant,4.5,"445 Little Collins St, Melbourne, Victoria 3000 Australia",83
Shark Fin Inn,406,$$ - $$$,restaurant,3.5,"50 Little Bourke St, Melbourne, Victoria 3000 Australia",586
The Crane Restaurant,416,$$ - $$$,restaurant,4.0,"212 Little Bourke St, Melbourne, Victoria 3000 Australia",194
Daughter in Law,404,$$ - $$$,restaurant,4.0,"37 Little Bourke St Ground Floor, Melbourne, Victoria 3000 Australia",113
Little Cupcakes,398,$,restaurant,4.5,"Shop 6/181 William St, Goldsborough Lane, Melbourne, Victoria 3000 Australia",127
Hawker Boys,399,$,restaurant,4.5,"85 Hardware Lane, Melbourne, Victoria 3000 Australia",70
Carlton Curry House,400,$$ - $$$,restaurant,4.5,"108 Lygon St, Melbourne, Victoria 3053 Australia",204
Anchovy,11,$$ - $$$,restaurant,4.5,"338 Bridge Rd, Richmond, Yarra, Victoria 3121 Australia",93
Sons of Mary,2,$$ - $$$,restaurant,4.5,"14 Spink St, Brighton, Bayside, Victoria 3186 Australia",233
Atrium Bar On 35,421,$$$$,restaurant,4.5,"25 Collins St, Melbourne, Victoria 3000 Australia",83
Sakura Kaiten,361,$$ - $$$,restaurant,4.5,"60 Little Collins St, Melbourne, Victoria 3000 Australia",132
The Hardware Club,218,$$ - $$$,restaurant,5.0,"43 Hardware Lane, Melbourne, Victoria 3000 Australia",57
Cornish Arms Hotel,4,$$ - $$$,restaurant,4.0,"163A Sydney Rd, Brunswick, Moreland, Victoria 3056 Australia",184
D.O.C,356,$$ - $$$,restaurant,4.0,"326 Lygon St Carlton, Melbourne, Victoria 3053 Australia",262
Cafe Cavallino,410,$$ - $$$,restaurant,4.0,"181-183 Lygon Street, Melbourne, Victoria Australia",260
Jungle Juice Bar,393,$,restaurant,4.5,"20 Centre Pl, Melbourne, Victoria 3000 Australia",78
Three Bags Full Cafe,2,$$ - $$$,restaurant,4.5,"Corner of Nicholson St and Mollison St,, Abbotsford, Yarra, Victoria 3067 Australia",230
Chinta Ria Soul,18,$$ - $$$,restaurant,4.0,"94 Acland St, St Kilda, Port Phillip, Victoria 3182 Australia",247
Atta Restaurant,2,$$ - $$$,restaurant,4.5,"159-161 Victoria Ave Melbourne, Albert Park, Port Phillip, Victoria 3206 Australia",102
Park Street Pasta & Wine,443,$$ - $$$,restaurant,4.5,"268 Park St South Melbourne, Melbourne, Victoria 3205 Australia",91
The Pancake Parlour,411,$$ - $$$,restaurant,4.0,"Centrepoint Arcade, Bourke Street Mall Centrepoint Arcade, Bourke Street Mall, Down the Escalators, Between Sportsgirl and Jetty Surf, Melbourne, Victoria 3000 Australia",323
Bella Cosi,446,$$ - $$$,restaurant,4.5,"71 Beach St, Melbourne, Victoria 3207 Australia",71
At Ease - Easy Thai,437,$,restaurant,4.5,"195 Lonsdale St, Melbourne, Victoria 3000 Australia",75
Lolo and Wren,436,$$ - $$$,restaurant,4.5,"484 Albion St West Brunswick, Melbourne, Victoria Australia",84
Thai city,438,$$ - $$$,restaurant,4.5,"124 Lygon Street Carlton, Melbourne, Victoria 3000 Australia",72
Tokui Sushi,429,$,restaurant,5.0,"260 Lonsdale St, Melbourne, Victoria 3000 Australia",50
